File Path,Line Number,Error Type,Error Description
"src/components/atoms/Avatar/Avatar.tsx(2,1)",src/components/atoms/Avatar/Avatar.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/atoms/Badge/Badge.tsx(2,1)",src/components/atoms/Badge/Badge.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/atoms/CarouselItem/CarouselItem.tsx(73,66)",src/components/atoms/CarouselItem/CarouselItem.tsx(73,66): error TS18048: 'views' is possibly 'undefined'.,"Possible Null/Undefined","'views' is possibly 'undefined'."
"src/components/atoms/Icon/Icon.tsx(2,1)",src/components/atoms/Icon/Icon.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/atoms/Image/Image.tsx(2,1)",src/components/atoms/Image/Image.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/atoms/index.ts(6,30)",src/components/atoms/index.ts(6,30): error TS2307: Cannot find module './CategoryLink' or its corresponding type declarations.,"Missing Module/Export","Cannot find module './CategoryLink' or its corresponding type declarations."
"src/components/atoms/Typography/Typography.tsx(2,1)",src/components/atoms/Typography/Typography.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/atoms/VideoItem/VideoItem.tsx(16,3)",src/components/atoms/VideoItem/VideoItem.tsx(16,3): error TS6133: 'id' is declared but its value is never read.,"Unused Variable/Import","'id' is declared but its value is never read."
"src/components/atoms/VideoItemGallery/VideoItemGallery.tsx(16,3)",src/components/atoms/VideoItemGallery/VideoItemGallery.tsx(16,3): error TS6133: 'id' is declared but its value is never read.,"Unused Variable/Import","'id' is declared but its value is never read."
"src/components/blocks/SearchBlock/index.tsx(9,15)",src/components/blocks/SearchBlock/index.tsx(9,15): error TS2305: Module '"../../../types/article"' has no exported member 'Article'.,"Missing Module/Export","Module '\"../../../types/article\"' has no exported member 'Article'."
"src/components/blocks/SearchBlock/index.tsx(304,23)",src/components/blocks/SearchBlock/index.tsx(304,23): error TS2322: Type '{ key: any; article: Article; showExcerpt: boolean; className: string; onClick: () => void; }' is not assignable to type 'IntrinsicAttributes & ArticleCardProps'.,"Type Mismatch","Type '{ key: any; article: Article; showExcerpt: boolean; className: string; onClick: () => void; }' is not assignable to type 'IntrinsicAttributes & ArticleCardProps'."
"src/components/index.ts(5,154)",src/components/index.ts(5,154): error TS2307: Cannot find module './molecules' or its corresponding type declarations.,"Missing Module/Export","Cannot find module './molecules' or its corresponding type declarations."
"src/components/molecules/ArticleHeader/ArticleHeader.tsx(32,3)",src/components/molecules/ArticleHeader/ArticleHeader.tsx(32,3): error TS6133: 'comments' is declared but its value is never read.,"Unused Variable/Import","'comments' is declared but its value is never read."
"src/components/molecules/ArticleHeader/ArticleHeader.tsx(33,3)",src/components/molecules/ArticleHeader/ArticleHeader.tsx(33,3): error TS6133: 'categoryName' is declared but its value is never read.,"Unused Variable/Import","'categoryName' is declared but its value is never read."
"src/components/molecules/Carousel/Carousel.tsx(72,35)",src/components/molecules/Carousel/Carousel.tsx(72,35): error TS6133: 'index' is declared but its value is never read.,"Unused Variable/Import","'index' is declared but its value is never read."
"src/components/molecules/CategoryNavigation/CategoryNavigation.types.ts(1,10)",src/components/molecules/CategoryNavigation/CategoryNavigation.types.ts(1,10): error TS1484: 'Category' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.,"Import Type Issue","'Category' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled."
"src/components/molecules/CommentItem/CommentItem.tsx(2,1)",src/components/molecules/CommentItem/CommentItem.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/molecules/InstagramEmbed/InstagramEmbed.tsx(42,12)",src/components/molecules/InstagramEmbed/InstagramEmbed.tsx(42,12): error TS2339: Property 'allowTransparency' does not exist on type 'HTMLIFrameElement'.,"Property Does Not Exist","Property 'allowTransparency' does not exist on type 'HTMLIFrameElement'."
"src/components/molecules/NavDropdown/NavDropdown.tsx(19,3)",src/components/molecules/NavDropdown/NavDropdown.tsx(19,3): error TS6133: 'items' is declared but its value is never read.,"Unused Variable/Import","'items' is declared but its value is never read."
"src/components/molecules/NavDropdown/NavDropdown.tsx(39,9)",src/components/molecules/NavDropdown/NavDropdown.tsx(39,9): error TS6133: 'handleItemClick' is declared but its value is never read.,"Unused Variable/Import","'handleItemClick' is declared but its value is never read."
"src/components/molecules/NavigationItem/NavigationItem.tsx(70,11)",src/components/molecules/NavigationItem/NavigationItem.tsx(70,11): error TS2322: Type '{ icon: LucideIcon; size: number; className: string; }' is not assignable to type 'IntrinsicAttributes'.,"Type Mismatch","Type '{ icon: LucideIcon; size: number; className: string; }' is not assignable to type 'IntrinsicAttributes'."
"src/components/molecules/PollingCard/PollingCard.tsx(28,3)",src/components/molecules/PollingCard/PollingCard.tsx(28,3): error TS6133: 'timeAgo' is declared but its value is never read.,"Unused Variable/Import","'timeAgo' is declared but its value is never read."
"src/components/molecules/PollingCard/PollingCard.tsx(122,15)",src/components/molecules/PollingCard/PollingCard.tsx(122,15): error TS2322: Type '{ key: string; id: string; optionText: string; percentage: number | undefined; isSelected: boolean; onClick: (optionId: string) => Promise<void>; }' is not assignable to type 'IntrinsicAttributes & PollingItemProps'.,"Type Mismatch","Type '{ key: string; id: string; optionText: string; percentage: number | undefined; isSelected: boolean; onClick: (optionId: string) => Promise<void>; }' is not assignable to type 'IntrinsicAttributes & PollingItemProps'."
"src/components/molecules/SearchBar/index.ts(2,26)",src/components/molecules/SearchBar/index.ts(2,26): error TS2459: Module '"./SearchBar"' declares 'SearchBarProps' locally, but it is not exported.,"Export Issue","Module '\"./SearchBar\"' declares 'SearchBarProps' locally, but it is not exported."
"src/components/molecules/SearchBar/index.ts(3,10)",src/components/molecules/SearchBar/index.ts(3,10): error TS2305: Module '"./SearchBar"' has no exported member 'default'.,"Missing Module/Export","Module '\"./SearchBar\"' has no exported member 'default'."
"src/components/molecules/ShareButtons/ShareButtons.tsx(2,1)",src/components/molecules/ShareButtons/ShareButtons.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/molecules/SocialMediaLink/SocialMediaLink.tsx(17,3)",src/components/molecules/SocialMediaLink/SocialMediaLink.tsx(17,3): error TS6133: 'color' is declared but its value is never read.,"Unused Variable/Import","'color' is declared but its value is never read."
"src/components/molecules/TikTokVideoCard/TikTokVideoCard.tsx(20,10)",src/components/molecules/TikTokVideoCard/TikTokVideoCard.tsx(20,10): error TS6133: 'currentTime' is declared but its value is never read.,"Unused Variable/Import","'currentTime' is declared but its value is never read."
"src/components/molecules/UserProfile/UserProfile.tsx(2,1)",src/components/molecules/UserProfile/UserProfile.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/molecules/VideoCard/VideoCard.tsx(2,1)",src/components/molecules/VideoCard/VideoCard.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/organisms/AdminDashboard/AdminDashboard.tsx(2,1)",src/components/organisms/AdminDashboard/AdminDashboard.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/organisms/AdSection/AdSection.tsx(28,43)",src/components/organisms/AdSection/AdSection.tsx(28,43): error TS6133: 'forceRefreshAds' is declared but its value is never read.,"Unused Variable/Import","'forceRefreshAds' is declared but its value is never read."
"src/components/organisms/ArticleContent/ArticleContent.tsx(19,3)",src/components/organisms/ArticleContent/ArticleContent.tsx(19,3): error TS6133: 'title' is declared but its value is never read.,"Unused Variable/Import","'title' is declared but its value is never read."
"src/components/organisms/ArticleList/ArticleList.tsx(2,1)",src/components/organisms/ArticleList/ArticleList.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/organisms/CategoryNewsSection/CategoryNewsSection.tsx(184,17)",src/components/organisms/CategoryNewsSection/CategoryNewsSection.tsx(184,17): error TS2339: Property 'true' does not exist on type 'NewsItem'.,"Property Does Not Exist","Property 'true' does not exist on type 'NewsItem'."
"src/components/organisms/CategorySection/CategorySection.tsx(86,16)",src/components/organisms/CategorySection/CategorySection.tsx(86,16): error TS2339: Property 'href' does not exist on type 'NewsItem'.,"Property Does Not Exist","Property 'href' does not exist on type 'NewsItem'."
"src/components/organisms/CategorySection/CategorySection.tsx(87,37)",src/components/organisms/CategorySection/CategorySection.tsx(87,37): error TS2339: Property 'href' does not exist on type 'NewsItem'.,"Property Does Not Exist","Property 'href' does not exist on type 'NewsItem'."
"src/components/organisms/CommentSection/CommentSection.tsx(2,1)",src/components/organisms/CommentSection/CommentSection.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/organisms/CommentsSection/CommentsSection.tsx(27,45)",src/components/organisms/CommentsSection/CommentsSection.tsx(27,45): error TS6133: 'authLoading' is declared but its value is never read.,"Unused Variable/Import","'authLoading' is declared but its value is never read."
"src/components/organisms/CommentsSection/CommentsSection.tsx(176,71)",src/components/organisms/CommentsSection/CommentsSection.tsx(176,71): error TS18047: 'comment.author.user' is possibly 'null'.,"Possible Null/Undefined","'comment.author.user' is possibly 'null'."
"src/components/organisms/DynamicCategorySections/DynamicCategorySections.tsx(16,3)",src/components/organisms/DynamicCategorySections/DynamicCategorySections.tsx(16,3): error TS6133: 'maxSections' is declared but its value is never read.,"Unused Variable/Import","'maxSections' is declared but its value is never read."
"src/components/organisms/PollingMain/PollingMain.tsx(56,7)",src/components/organisms/PollingMain/PollingMain.tsx(56,7): error TS2322: Type 'null' is not assignable to type 'number'.,"Type Mismatch","Type 'null' is not assignable to type 'number'."
