File Path,Line Number,Unused Item,Type,Action Needed
"src/components/atoms/Avatar/Avatar.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/atoms/Badge/Badge.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/atoms/Icon/Icon.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/atoms/Image/Image.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/atoms/Typography/Typography.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/atoms/VideoItem/VideoItem.tsx(16",3)","id","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/atoms/VideoItemGallery/VideoItemGallery.tsx(16",3)","id","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/molecules/ArticleHeader/ArticleHeader.tsx(32",3)","comments","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/molecules/ArticleHeader/ArticleHeader.tsx(33",3)","categoryName","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/molecules/Carousel/Carousel.tsx(72",35)","index","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/molecules/CommentItem/CommentItem.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/molecules/NavDropdown/NavDropdown.tsx(19",3)","items","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/molecules/NavDropdown/NavDropdown.tsx(39",9)","handleItemClick","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/molecules/PollingCard/PollingCard.tsx(28",3)","timeAgo","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/molecules/ShareButtons/ShareButtons.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/molecules/SocialMediaLink/SocialMediaLink.tsx(17",3)","color","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/molecules/TikTokVideoCard/TikTokVideoCard.tsx(20",10)","currentTime","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/molecules/UserProfile/UserProfile.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/molecules/VideoCard/VideoCard.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/organisms/AdminDashboard/AdminDashboard.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/organisms/AdSection/AdSection.tsx(28",43)","forceRefreshAds","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/organisms/ArticleContent/ArticleContent.tsx(19",3)","title","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/organisms/ArticleList/ArticleList.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/organisms/CommentSection/CommentSection.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/organisms/CommentsSection/CommentsSection.tsx(27",45)","authLoading","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/organisms/DynamicCategorySections/DynamicCategorySections.tsx(16",3)","maxSections","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/organisms/ServiceNavigation/ServiceNavigation.tsx(2",1)","NavigationItem","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/organisms/Sidebar/Sidebar.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/organisms/SingleCategorySection/SingleCategorySection.tsx(304",44)","index","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/organisms/TikTokEmbed/TikTokEmbed.tsx(10",3)","autoplay","Props/Variable","Remove unused parameter or add underscore prefix"
"src/components/organisms/YouTubeEmbed/YouTubeEmbed.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/pages/Register/Register.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/pages/Search/Search.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/templates/AdminLayout/AdminLayout.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/templates/ArticleLayout/ArticleLayout.tsx(2",1)","React import","Import","Remove unused React import"
"src/components/templates/MainLayout/MainLayout.tsx(2",1)","React import","Import","Remove unused React import"
"src/pages/Writer/ArticleWriterPage.tsx(261",15)","result","Props/Variable","Remove unused parameter or add underscore prefix"
"src/pages/Writer/WriterDashboard.tsx(15",10)","posts","Props/Variable","Remove unused parameter or add underscore prefix"
"src/pages/Writer/WriterDashboard.tsx(15",17)","setPosts","Props/Variable","Remove unused parameter or add underscore prefix"
"src/services/external/tiktokAPI.ts(37",11)","height","Variable","Remove unused variable or use it"
